,tweet
1085,"Pronto, Candé descobriu o caso da Vanessa com Gerônimo. #Verão90"
1086,"Uma pessoa da minha family q eu amo muito, mas q smp teve uma personalidade difícil de dar certo com a minha, mas q agr parece estar amadurecendo e evoluindo pra melhor...ownt só aumenta o meu amor 🥰"
1087,Tu ve q ta foda quando tu prefere tomar um banho quente e assistir série  numa sexta-feira
1089,o chocolate não tava derretido?
1090,Papaizinho tô apaixonada
1092,"Falaram do jerimum, mas ninguém lembrou do cheiro verde que dá um saborzinho todo especial"
1093,"Nam, to falando dessas q são insuportáveis se acham donas do mundo, enche o saco de todo mundo. Mas eh culpa dos pais, sempre passa a mão na cabeça e deixa na rua pq tá com preguiça de ficar com a criança em casa"
1094,Gostei dessa mina sem mancada
1096,Tomara Deus que isso demore muito tempo pra eu não surtar e querer mudar
1097,Não pode
1098,Rebele-se contra o sucesso do Governo Bolsonaro... 🤣🤣🤣
1099,É um confronto necessário.
1100,"Não tive tempo nem de entrar aqui, eai pessoar"
1103,Ah nem kkkk
1104,Tchhheee vai dar coisa
1105,Acho que não
1106,Me ama mt que eu sei
1107,eu só quero pizza
1108,"Oi, qm vamos conversar?"
1109,No lugar dela eu ja tinha mandado todo mundo tomar no cu e tinha tacado fogo na casa
1110,"Que ódio da Hannah, pqp!"
1111,Aceitei já que eu sou muito gay !!
1112,"Ah, preguiça."
1113,vou tentar amanhã
1119,"É, eu era assim antes de me assumir e foi um choque saber que eu não precisava ser assim pra atrair olhares de mulher (no meu caso), mas ainda sim a gente é mulher, então homem chega mim etc."
1122,"Eu adora ir em fest porque sempre dava aquele friozinho na barriga de ir, e não era igual ir nas festas que tu fica toda insegura com a tua roupa/maquiagem"
1123,Tá muito errado
1126,12. qualquer camiseta ou regata e short de praia
1127,Eu não aguento as mentiras que essa menina fala aqui no Twitter
1128,Não e vc? #VideoQuandoABadBater
1129,"HMMMMM, exatamente oq uma subcelebridade diria"
1130,quero tomar alguma coisa pra dormir
1132,AMOH QUE AMOH só faltou o julio pra completar
1133,Hoje eu me derramoooooo daqui é gêmeos
1134,muito melhor eu ter vindo pra casa saber dessa notícia
1135,Chora imbecil...
1136,"6 horas que pareceram dois dias seguidos, foi triste."
1137,"Como posso te ajudar, anjo?"
1138,Cheguei em casa e não tem uma parte do meu corpo que não esteja DOENDO PARA UM CARALHO
1140,Me arruma uma vaga ? HSHSHSHSHSHSHSHEHSHD
1141,traição eu não esperava não kk as pessoas surpreendem msm
1142,Quando vc volta Thiago?
1143,Teu fundo
1144,acredito no seu potencial
1145,E olha que eu prefiro ímpar então geralmente gosto dos primos
1146,"Fui fazer brigadeiro agora e quis imitar o da Bebela com bolacha de maisena, eu quase taquei uma bolacha salgada dentro da panela veeei kkkkkkkkkkkk"
1148,tag: corpo  (❤️)gosto  (👍🏼) razoável (🤢) não gosto  testa 👍🏼 orelhas ❤️ seios ❤️ barriga 👍🏼 cintura 👍🏼  mãos ❤️ unhas ❤️ braços 👍🏼 quadril 🤢🤢🤢🤢🤢🤢 bumbum 🤢🤢🤢🤢🤢🤢 pernas 🤢🤢🤢🤢🤢🤢 pé ❤️ cabelo ❤️ nariz ❤️ cílios ❤️ olhos 👍🏼
1149,Essa macro foi boa pra aprender a valorizar um banheiro limpo
1150,Sou puro com geral só n tenta me fazer de bobo ✌
1152,"tbh, nao vai mesmo, no mangá ainda nao superaram"
1153,eu fico boba como alguém consegue falar tanta merda... se esforçam para ser ignorante
1155,ninguém fala mas eu falo esses bonecos ai que ta todo mundo fazendo sao tudo igual e nao fica igual a ninguemkkkk
1156,Tomar um banho aqui brt lá no wkr
1157,"Só faltou o patriotismo, mas ainda é uma boa esquete de humor"
1158,Acabei de receber
1159,Mas o tixinha é rico isso não é problema
1160,E amanhã?
1161,Fazia suas necessidades em qualquer lugar e chegou a lamber sua própria urina.
1162,oficialmente dona do @If_yugyeom
1164,"To muito puta, real."
1165,Não ta dando kkkk sério
1166,"Que dor de cabeça, senhor"
1167,Pedro chamando pra ir no p.u hj kkk aiai
1168,Vida de dona de casa é sextar na fila do Guanabara
1169,KKKKKKKKKKKKK É MUITO A GENTE KKKKKKKKKKKKK
1170,mano frustrada pq não to emo hj
1171,"Queria jogar um lolzinho, mas a internet n tá ajudando"
1174,@swtlittlebaby isso é TÃO eu e vc inclusive manda audio falando isso bj te amo
1176,Gramado da arena é absurdo pqp
1177,vou fazer um squad pra gente jogar aquele joguinho no #askfandoms quem quiser entrar da fav
1178,vou hitar horrores e postar meu IG nas replies
1179,Kkkkk amiga se eu tivesse eu te emprestaria
1180,"Um tiozinho tava conversando demais com os caras da academia, daí depois passou pra mim depois pro cara da autopeças depois pra mim de novo, tadinho acho que ele queria fazer amigos"
1181,vcs já passaram pela experiência de andar até algum lugar e nem saber por onde passou pq tavam mt puto e ao memo tempo triste
1182,KKKKKKKKKKKKKKKKK É IGUAL
1183,"Tipo acho que se ela tentar manter os músculos relaxados e tentar usar algum tipo de lubrificante pode ser saliva, vai sair mais fácil e n vai doer tanto pq se ela tiver mto tenta os músculos vão travar ela tem que respirar e se acalmar pra poder ter algum tipo de avanço :("
1184,Não é em bnu kkkkkkk
1185,Às vezes tbm kkkk
1186,"E o que o cara falou e fez mais sentido foi que eu teria planos diferentes para ""chegar lá"" e passaria a ver as coisas de forma diferente. Cara, isso é muito no que eu ando pensando. Eu ando num puta processo de mudança de pensamento e planos."
1188,Mudança de planos aliada
1189,"Ata aoskskksksksksksks, eu pensei que era o ""Hongaah""almsmsmss"
1190,"Alo vc aí mãe, pai, vc adulto responsável por uma outra vida NÃO FAÇO SEU FILHO ESCOLHER UM LADO"
1192,você e seus 0 motivos
1193,"ai mds, forças ícone 😔✊"
1194,oh vidinha meio bosta
1195,Eu consigo me desiludir a mim mesma
1196,ela esperava: cabelo de 3 mil reais  recebeu: ?!:?:?:??????????
1197,"""vc tem uma cara de gata natural"" ????????? kkkkkkkkkkkk love u @germarttins"
1198,eu descubro até oq eu não quero kkkkkkkkkkkkk
1200,vai amah
1201,Melhor coisa padrin
1202,Vai pagar?
1203,Esse final de demo em vertigem com esse samba e eu olhando p tela chorando a vida toda
1204,"Crendeuspai, eu tô E-X-A-U-S-T-A!  Parece que um caminhão passou por cima de mim, mas tô muito feliz com o quão fui produtiva hoje"
1205,"MANO EU VI TODOS OS JOGOS E ESQUECI QUE HOJE ERA A FINAL DO INTERBIXOS, AMORES DA MINHA VIDA ME PERDOEM POIS EU FALHEI"
1206,é de mim mesmo
1207,Da saurana
1208,meus amigos simplesmente nao querem depositar 5 mil reais na minha conta vsf tóxicos do caralho
1209,A LUZ NO FIM DO TÚNEL MEUPAI agora se vai dar merda daí ja nao sei o futuro a deus pertence
1210,"Semeie amor pelo caminho... Assim, o amor sempre saberá onde te encontrar. Nicoli Miranda Casanova #ParabensPamela"
1211,"Em 1973, ela sofria de depressão e começou a ouvir vozes dizendo que ela estava ""condenada"" e que iria ""apodrecer no inferno"". Nesse mesmo ano seu comportamento tornou-se mais bizarro ainda. Ela andava nua pela casa, rasgava suas roupas, comia insetos como moscas,carvão e aranha+"
1212,só quero saber quando tu vai vir p Ita cmg
1213,Estava* tive uma ideia
1214,"""Não pedimos armas, mas proteção"". 😂😂😂😂😂"
1215,"nossa eu to MT triste agora, isso acabou cmg"
1216,Queria me apaixonar pq é bom pro meu processo artístico...
1217,"tenham alguem que faça brigadeiro de whey de oreo pra vcs, mas que não vire uma gororoba tipo o de hoje KKKKKKKK"
1218,Obg amo 🤩
1220,depende mas n daria muito p ele n
1221,"Novinha safada, simpáticaaa"
1223,"Natanael falando que ele foi embora,que um punhado de menino já me chamou KKK só meu irmão que quer conversar comigo"
1224,hj eu vou beber até perder a consciência e quem dera se fosse meme
1225,poxa nenhuma amiga
1226,"@geralp10oficial continua que ta massa...ensaio bombando,da pra ouvir de casa. 🔵⚫⚪💪🏾"
1227,Ñiqui Ñiqui Ñiqui 😂
1228,Até gostaria de i mas no meu município  n tem.
1229,Hoje tá a cara do pagode c uma cervejinha
1230,"Hoje eu estou sem muito papo, quero só ficar quietinha"
1231,kkkkkk garoto eu só queria morar em Uberlândia dia 23 viu kkkk
1232,que tu és o amor da minha vida e pois não dá pra viver nessa vida morrendo de amor
1233,Kkkkkkkk eu smp estrago os relacionamentos que tenho... tenho que te contar dps
1234,"Novinha pode vim pro Conjuntao, q os predin vai tremer hj🤭😜🇮🇶"
1235,"iti, te amo mais"
1236,pelo menos issokkkkk
1237,Comédia pessoal hahaha
1238,Depois bora ir la comer cunha
1239,"Gente o nome do cara é Busceta, foda-se a Venezuela"
1240,amiga fura a minha
1241,apaguei pois esqueci e fui toxico
1242,puts seria mt top msm ai
1243,"Alguém me tira uma dúvida rapidão, Gusttavo Lima é embaixador do quê???"
1244,"Na mesma posição  de Angela Merkel.....e com um detalhe, dando tchauzinho pro presidiário"
1246,"todo mundo acha bonito, mas pra ter em casa né..."
1247,felizmente só um susto
1248,Vou beber pra esquecer essa prova da 🐮
1250,"Só agora vc reconhece que ele fez um golaço, deve ter melhorado da surdez e da cegueira ideológica comunista."
1251,volta pra mim
1253,tá bom 🤧❤️
1255,"Alexandre deu um up ao programa! Silvio Navarro tbm é demais! Vera e Andreazza, por mais q mtas vezes eu descorde de seus comentários, são sérios em seus comentários! 👏🏻👏🏻👏🏻"
1256,Saudade de inventar uns rolê de última hora p ir na Estação
1258,Sextou em casa como de costume
1259,Qual é o nome do seu:  1. Ghyslaine e Daniel 2. Kaique 3. Ingrid 4. Rodrigo  5. Bruna 6. João V. 7. Igor 8. Thais 9. Puts 10. Kev  Deixa um emoji que te mando as perguntas
1260,"Não tem como não olhar, é impossível HAUAHHAHAHA"
1261,prefiro vc no controle
1262,"Não aguento mais ficar solteiro, cansei KK"
1263,Comi um empadão de camarão na Faiane que salvou minha sexta.
1264,pera  v m o
1267,foda-se marcela vamo beber quem precisa de mulher? (eu)
1268,@ricademarre sua escola né certeza hahahaha
1269,Iaaaaallaaaa jogou logo na cara fala Deus
1270,"Quando tinha 16 anos, Anne sofreu de uma grave convulsão e foi diagnosticada com epilepsia. Logo, ela também começou a alucinar enquanto rezava."
1271,"rinite tá me matando, pqp brother"
1272,É isso ja deu ❤❤ te amo infinitamente
1273,sugestões de lugares gostosos pra encher o bucho com os pais por favor
1274,Só dá nós 🥳🥳
1275,ta bom parei
1276,Bruno dizendo que Leal tá com dificuldade na recepção de saque flutuante. Kkkkkkkkk mas isso é notório desde o primeiro jogo dele!!  #VoleiNoSportTV
1277,"sim, pede depois por lá. o que eu gosto chama take five"
1278,KSKSKKAKA A LO SERIO MK
1279,Era só um air max 97 na minha vida.💔
1280,MANO JDHDKSHSKSHSKSHSK ANAO QUE IGNORÂNCIA
1281,"se tem uma coisa que eu não quero, é apresentar seminário hoje"
1283,"Cara to mortinho sério msm, que dia"
1284,Chega mais... :p
1285,falo pouco mas falo merda
1286,que pessoa
1287,conheço uns descendentes do paraguai po
1288,"Uma coisa que sempre critiquei os conservadores é pelo fato do capitalismo ser pragmatico, dinheiro não ve ideologias. A maioria dos eleitores do Bolsonaro ñ entendem isso e parece que alguns liberais tambem não."
1290,ba n sei se ta valendo ir na festa junina do mesquita amanhã
1292,Eu juro que não sei como sobrevivi a este estágio
1295,Chega de vagar kkk
1296,Sextouuu ❤❤😎
1297,"marca num find q eu tiver de folga , GRRRRRRRRRRRR"
1298,Vitamina de abacate é bipolar?
1299,Tô de volta em kkk
1300,"Verdade, um dia tudo melhora"
